train_loss_giou,train_cardinality_error,epoch,train_loss_ce,training_loss,train_loss_bbox,step
0.37391960620880127,20.5,0,0.0,0.8431147336959839,0.019055109471082687,4
0.3141050934791565,16.75,0,0.0,0.7345342040061951,0.021264808252453804,9
0.40549930930137634,14.75,0,0.0,0.9173062443733215,0.02126152254641056,14
0.2251226007938385,14.0,0,0.0,0.5322915315628052,0.016409259289503098,19
0.34244146943092346,17.0,0,0.0,0.7814675569534302,0.01931692473590374,24
0.31040844321250916,16.25,0,0.0,0.7255780696868896,0.020952239632606506,29
0.3095017969608307,18.0,0,0.0,0.7062913179397583,0.017457539215683937,34
0.30827784538269043,16.0,0,0.0,0.7173531651496887,0.02015949785709381,39
0.31209129095077515,16.0,0,0.0,0.8012099862098694,0.035405483096838,44
0.3226567208766937,15.25,0,0.0,0.735950231552124,0.018127361312508583,49
0.34691864252090454,15.5,0,0.0,0.8153116703033447,0.02429487183690071,54
0.24210263788700104,13.5,0,0.0,0.5315563082695007,0.009470208548009396,59
0.2954420745372772,14.25,0,0.0,0.726944088935852,0.02721199207007885,64
0.27588149905204773,17.0,0,0.0,0.6422113180160522,0.018089659512043,69
0.22373542189598083,11.5,0,0.0,0.5140775442123413,0.013321345672011375,74
0.3413383960723877,20.5,0,0.0,0.8240359425544739,0.028271831572055817,79
0.18760652840137482,14.5,0,0.0,0.4356311559677124,0.012083619832992554,84
0.2818392217159271,16.75,0,0.0,0.6519197225570679,0.017648251727223396,89
0.24201618134975433,18.0,0,0.0,0.5614027976989746,0.015474081039428711,94
0.26147595047950745,15.5,0,0.0,0.5965749621391296,0.01472461223602295,99
0.3014642000198364,18.0,0,0.0,0.6959286332130432,0.01860005035996437,104
0.24527078866958618,17.75,0,0.0,0.572005569934845,0.01629279926419258,109
0.22579266130924225,18.25,0,0.0,0.519105851650238,0.013504104688763618,114
0.2987446188926697,20.75,0,0.0,0.6884392499923706,0.01819000206887722,119
0.3018071949481964,13.75,0,2.9802307288662178e-09,0.6957845687866211,0.018434038385748863,124
0.27139514684677124,12.0,0,0.0,0.6396620273590088,0.01937435194849968,129
0.2756021320819855,16.75,0,5.9604643443123e-10,0.6373366117477417,0.01722647249698639,134
0.24792705476284027,19.75,0,3.874300880113424e-09,0.5692765116691589,0.014684478752315044,139
0.3527205288410187,19.0,0,1.3583953659690451e-05,0.7976312041282654,0.01843530870974064,144
0.2711387574672699,18.75,0,5.688970077244448e-07,0.6275250315666199,0.01704939268529415,149
